filename,scenario,happy_slapping,revenge_porn,racism,body_shaming
10_grasso.jpg,PF-0-5,0,0,0,3
10_grasso.jpg,PF-5-10,0,0,0,3
10_grasso.jpg,PF-10-15,0,0,0,4
10_grasso.jpg,PF-15+,0,0,0,4
10_grasso.jpg,PM-0-5,0,0,0,2
10_grasso.jpg,PM-5-10,0,0,0,2
10_grasso.jpg,PM-10-15,0,0,0,3
10_grasso.jpg,PM-15+,0,0,0,3
10_grasso.jpg,EF-0-5,0,0,0,3
10_grasso.jpg,EF-5-10,0,0,0,2
10_grasso.jpg,EF-10-15,0,0,0,3
10_grasso.jpg,EF-15+,0,0,0,3
10_grasso.jpg,EM-0-5,0,0,0,2
10_grasso.jpg,EM-5-10,0,0,0,2
10_grasso.jpg,EM-10-15,0,0,0,3
10_grasso.jpg,EM-15+,0,0,0,3
10_grasso.jpg,SF-0-5,0,0,0,3
10_grasso.jpg,SF-5-10,0,0,0,3
10_grasso.jpg,SF-10-15,0,0,0,4
10_grasso.jpg,SF-15+,0,0,0,4
10_grasso.jpg,SM-0-5,0,0,0,2
10_grasso.jpg,SM-5-10,0,0,0,2
10_grasso.jpg,SM-10-15,0,0,0,3
10_grasso.jpg,SM-15+,0,0,0,3
11_porno.jpg,PF-0-5,0,5,0,0
11_porno.jpg,PF-5-10,0,5,0,0
11_porno.jpg,PF-10-15,0,5,0,0
11_porno.jpg,PF-15+,0,5,0,0
11_porno.jpg,PM-0-5,0,5,0,0
11_porno.jpg,PM-5-10,0,5,0,0
11_porno.jpg,PM-10-15,0,5,0,0
11_porno.jpg,PM-15+,0,5,0,0
11_porno.jpg,EF-0-5,0,5,0,0
11_porno.jpg,EF-5-10,0,5,0,0
11_porno.jpg,EF-10-15,0,5,0,0
11_porno.jpg,EF-15+,0,5,0,0
11_porno.jpg,EM-0-5,0,5,0,0
11_porno.jpg,EM-5-10,0,5,0,0
11_porno.jpg,EM-10-15,0,5,0,0
11_porno.jpg,EM-15+,0,5,0,0
11_porno.jpg,SF-0-5,0,5,0,0
11_porno.jpg,SF-5-10,0,5,0,0
11_porno.jpg,SF-10-15,0,5,0,0
11_porno.jpg,SF-15+,0,5,0,0
11_porno.jpg,SM-0-5,0,5,0,0
11_porno.jpg,SM-5-10,0,5,0,0
11_porno.jpg,SM-10-15,0,5,0,0
11_porno.jpg,SM-15+,0,5,0,0
12_neronaso.jpg,PF-0-5,0,0,0,3
12_neronaso.jpg,PM-5-10,0,0,0,3
12_neronaso.jpg,SF-0-5,0,0,0,4
12_neronaso.jpg,EM-5-10,0,0,0,3
12_neronaso.jpg,EF-10-15,0,0,0,4
12_neronaso.jpg,SM-10-15,0,0,0,3
12_neronaso.jpg,PF-10-15,0,0,0,3
12_neronaso.jpg,SM-0-5,0,0,0,3
12_neronaso.jpg,PM-10-15,0,0,0,3
12_neronaso.jpg,EM-0-5,0,0,0,3
12_neronaso.jpg,SF-5-10,0,0,0,3
12_neronaso.jpg,EF-5-10,0,0,0,3
12_neronaso.jpg,SM-5-10,0,0,0,3
12_neronaso.jpg,SF-10-15,0,0,0,4
12_neronaso.jpg,PF-15+,0,0,0,3
12_neronaso.jpg,EM-15+,0,0,0,3
12_neronaso.jpg,SM-15+,0,0,0,3
12_neronaso.jpg,PF-5-10,0,0,0,3
12_neronaso.jpg,EF-0-5,0,0,0,3
12_neronaso.jpg,EF-15+,0,0,0,3
12_neronaso.jpg,PM-15+,0,0,0,3
